
('Time:Fri Oct  5 13:02:50 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:38:49 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:40:48 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:41:55 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:42:01 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:42:07 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:42:13 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:42:19 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:42:25 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:07:10 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:13:15 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:15:23 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:15:35 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:15:47 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:15:59 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:16:11 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:16:35 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:16:47 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:16:59 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:17:11 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:17:23 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:17:35 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:17:47 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:17:59 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:18:11 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:18:23 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:18:35 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:18:47 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:18:59 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:19:11 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:19:23 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:19:35 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:19:47 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:19:59 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 14:20:11 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:19:49 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:23:34 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:36:56 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:09 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:10 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:15 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:16 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:22 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:22 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:28 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:28 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:34 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:34 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:40 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:40 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:46 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:38:46 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:39:07 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:39:29 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:40:09 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:41:17 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:43:47 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:43:53 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:43:59 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:44:05 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:44:58 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:45:04 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:45:10 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:45:16 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:45:22 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:45:28 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:45:35 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:45:41 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:45:47 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:45:53 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:45:59 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:46:26 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:46:32 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:46:38 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:46:44 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:46:50 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:46:56 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:47:02 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:47:08 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:47:40 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:48:40 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:50:44 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:58:01 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:58:07 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:58:13 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 12:58:19 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:00:03 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:00:09 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:00:15 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:01:33 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:01:56 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:03:57 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:04:03 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:04:09 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:05:10 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:05:21 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:05:32 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:07:03 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:07:24 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:11:14 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:11:35 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 13:11:52 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:11:40 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:15:00 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:20:58 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:21:43 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:27:37 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:27:43 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:27:49 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:27:55 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:44:41 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:44:47 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:44:53 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:44:59 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:45:05 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:45:18 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:45:24 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:45:30 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 15:55:42 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:08:14 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:08:20 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:08:26 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:08:32 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:08:38 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:08:44 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:09:27 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:09:33 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:09:39 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:09:45 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:09:51 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:12:06 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:12:12 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:12:18 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:12:24 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:12:30 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:12:36 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:12:42 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:12:48 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:12:54 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:13:00 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:13:06 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:13:12 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:13:18 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:31:09 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:31:15 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:31:21 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:31:27 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:31:33 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:31:39 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:31:45 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:31:51 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:31:57 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:32:03 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:34:40 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:34:46 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:34:52 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:34:58 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:35:04 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:35:10 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:35:16 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:35:22 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:35:28 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:35:34 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:48:59 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:49:05 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:49:11 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:49:44 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:51:10 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:51:16 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:52:45 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:52:51 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:52:57 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:53:03 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:53:09 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:53:15 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:53:21 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:53:27 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:53:33 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:53:39 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:53:45 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:53:51 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:53:57 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:54:03 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:54:09 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:54:15 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:54:21 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:54:27 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:54:33 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:54:39 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:54:45 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:54:51 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:54:57 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:55:03 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:55:09 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:55:15 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:55:21 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:55:27 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:55:33 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:55:39 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:55:46 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:55:52 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:55:58 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:56:04 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:56:10 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:56:16 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:56:22 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:56:28 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:56:34 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:56:40 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:56:46 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:56:52 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:56:58 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:57:04 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:57:10 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:57:16 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
